Index of pulse,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
1,0.15789473684210528,0.368421052631579,0.6052631578947368,0.06578947368421052,0.22368421052631582,0.2894736842105263,0.2894736842105263,0.47368421052631576,0.75,0.09333333333333334,0.14666666666666667,0.08724450334880328,-0.8537003619399409,-0.03162617707916462,-1.2980930184229549,-0.9858130546707948,-0.9858130546707948,0.5660496607771176,-0.16167313446729328,-0.12692290417209265,0.3122799637521601,0.3122799637521601,0.10748343014151716,0.6735330909186348,-1.8641426792000726,-1.0716309523270262,4.70091567015942,4.70091567015942,-0.06300965971044818,5.296146498658819
2,0.15068493150684928,0.3835616438356164,0.6164383561643835,0.0547945205479452,0.2328767123287671,0.31506849315068486,0.31506849315068486,0.49315068493150677,0.7534246575342465,0.09459459459459459,0.14864864864864866,0.15417677902885385,-0.6427146226446989,0.08554532182713685,-1.25348436219513,-0.7672526497915815,-0.7672526497915815,0.5621675077798663,-0.16495276080669183,-0.36853418397905996,0.48623171240354857,0.48623171240354857,-0.28114657039183344,0.2810209373880329,-1.8156518699749964,-1.2241134555343502,-0.36108542085883816,-0.36108542085883816,-0.02013517991764371,-3.3724791821180924
3,0.13333333333333336,0.3600000000000001,0.6133333333333335,0.053333333333333344,0.21333333333333337,0.2666666666666667,0.2666666666666667,0.46666666666666684,0.7333333333333335,0.08108108108108107,0.14864864864864863,0.13534292012087332,-0.5810192846124659,0.0039431718419025725,-1.1863789751918985,-0.9613384543085246,-0.9613384543085246,0.42700071378579624,-0.11194157658336981,-0.13804609007155544,0.22504052088337384,0.22504052088337384,0.3092972196393545,0.7362979334251507,-1.6133796889776946,-1.1304631647094483,-0.3392125091030024,-0.3392125091030024,-0.023440724233979936,-1.5771061921751888
4,0.15999999999999998,0.3733333333333333,0.6133333333333333,0.06666666666666665,0.22666666666666666,0.2933333333333333,0.2933333333333333,0.49333333333333323,0.7466666666666666,0.09333333333333335,0.1466666666666667,0.14045403857347058,-0.6185691657107207,0.08166974006484978,-1.3057484838617124,-0.9076613507712186,-0.9076613507712186,0.5329815966106596,-0.17839143062482965,-0.25356295932909023,0.3980871330904938,0.3980871330904938,-0.023407378929934906,0.5095742176807248,-1.8387300804723719,-1.2004130833347113,-0.3517513546754823,-0.3517513546754823,-0.027820076468336657,-7.824508048168796
5,0.14864864864864863,0.37837837837837834,0.5945945945945945,0.06756756756756756,0.22972972972972971,0.29729729729729726,0.29729729729729726,0.4864864864864864,0.6351351351351351,0.08108108108108106,0.14864864864864863,0.13358487383180914,-0.6536100129328017,0.018067144475451553,-1.3299391398063618,-0.9193124146624562,-0.9193124146624562,0.5455381836864441,-0.09508747582471848,-0.2629100787705983,0.41062672514390564,0.41062672514390564,-0.03685249416789359,0.5086856895185505,-1.875477323492806,-1.2004559587587182,0.14857085043695906,0.14857085043695906,-0.023840801319199387,-0.8278957017799804
6,0.14864864864864863,0.37837837837837834,0.6216216216216215,0.06756756756756756,0.22972972972972971,0.28378378378378377,0.28378378378378377,0.4864864864864864,0.7027027027027025,0.07999999999999997,0.14666666666666664,0.138263760648507,-0.5765669790019209,0.046300759576481956,-1.2022468469132526,-0.9362995026112624,-0.9362995026112624,0.4598925825891803,-0.12868052998329343,-0.15561141242072038,0.2659473443019903,0.2659473443019903,0.2104595757200918,0.6703521583092721,-1.662139429502433,-1.1432924098580464,-0.5613353925675837,-0.5613353925675837,-0.022479399436183847,-3.457785341403747
7,0.1333333333333333,0.3733333333333333,0.5999999999999999,0.05333333333333333,0.21333333333333332,0.35999999999999993,0.35999999999999993,0.47999999999999987,0.6799999999999998,0.0821917808219178,0.1643835616438356,0.14100938258380405,-0.6251392469967677,0.030945818534927578,-1.19609963991258,-0.1657224386867206,-0.1657224386867206,0.496561186202627,-0.07935979721516216,0.5689995864156621,1.0303772012258594,1.0303772012258594,-1.3612159487417659,-0.8646547625391389,-1.692660826115207,-0.4269489301968164,0.076946312189524,0.076946312189524,-0.021749925179607717,-4.335103067384139
8,0.1600000000000001,0.40000000000000024,0.6400000000000003,0.08000000000000004,0.24000000000000013,0.30666666666666687,0.30666666666666687,0.5066666666666669,0.7600000000000005,0.07792207792207796,0.15584415584415592,0.13026196544396879,-0.6412579719754334,0.08031480561068183,-1.2907521563959283,-0.9666798677749202,-0.9666798677749202,0.5572399044582242,-0.1861605474705851,-0.1853087359093079,0.32407228862100795,0.32407228862100795,0.08536767469568808,0.6426075791539123,-1.8479920608541525,-1.1493197299774334,-0.40779823424060796,-0.40779823424060796,-0.02273007178137982,3.2319531675529882
9,0.14864864864864874,0.3783783783783786,0.621621621621622,0.054054054054054085,0.22972972972972988,0.2972972972972975,0.2972972972972975,0.4729729729729733,0.7432432432432438,0.09589041095890402,0.15068493150684917,0.13919533483306126,-0.6505836760726328,0.052379854429653656,-1.3433691493292383,-0.893084098752124,-0.893084098752124,0.5252534261939812,-0.17886956735628304,-0.279082757751993,0.45028505057711427,0.45028505057711427,-0.08245437801897142,0.44279904817500976,-1.8686225755232193,-1.2037964989762404,0.030649121112447462,0.030649121112447462,-0.02153457403654626,-1.3549262352661402
10,0.16216216216216203,0.37837837837837807,0.621621621621621,0.06756756756756752,0.22972972972972955,0.3108108108108105,0.3108108108108105,0.486486486486486,0.7702702702702696,0.09459459459459466,0.14864864864864874,0.13613137345215215,-0.619189200843893,0.03897795182253784,-1.2614035032968391,-0.8482101152464695,-0.8482101152464695,0.514693304463262,-0.14185721202106985,-0.1863575121855218,0.4131933880503696,0.4131933880503696,-0.07967657726716208,0.4350167271960999,-1.7760968077601011,-1.1129655560761589,-0.3090246327964418,-0.3090246327964418,-0.02287030147318631,-2.982989926528326
