Index of pulse,Tu,Tv,Tw,Ta,Tb,Tc,Td,Te,Tf,Tb-c,Tb-d,Tp1,Tp2,Tp1-dp,Tp2-dp
1,0.096,0.224,0.368,0.04,0.136,0.176,0.176,0.288,0.456,0.03999999999999998,0.03999999999999998,0.176,0.328,0.2,0.048
2,0.088,0.224,0.36,0.032,0.136,0.184,0.184,0.288,0.44,0.04799999999999999,0.04799999999999999,0.184,0.328,0.24,0.096
3,0.08,0.216,0.368,0.032,0.128,0.16,0.16,0.28,0.44,0.032,0.032,0.16,0.32,0.232,0.072
4,0.096,0.224,0.368,0.04,0.136,0.176,0.176,0.296,0.448,0.03999999999999998,0.03999999999999998,0.176,0.336,0.256,0.096
5,0.088,0.224,0.352,0.04,0.136,0.176,0.176,0.288,0.376,0.03999999999999998,0.03999999999999998,0.176,0.328,0.208,0.056
6,0.088,0.224,0.368,0.04,0.136,0.168,0.168,0.288,0.416,0.032,0.032,0.168,0.336,0.24,0.072
7,0.08,0.224,0.36,0.032,0.128,0.216,0.216,0.288,0.408,0.088,0.088,0.16,0.216,0.248,0.192
8,0.096,0.24,0.384,0.048,0.144,0.184,0.184,0.304,0.456,0.04000000000000001,0.04000000000000001,0.184,0.344,0.256,0.096
9,0.088,0.224,0.368,0.032,0.136,0.176,0.176,0.28,0.44,0.03999999999999998,0.03999999999999998,0.176,0.328,0.24,0.088
10,0.096,0.224,0.368,0.04,0.136,0.184,0.184,0.288,0.456,0.04799999999999999,0.04799999999999999,0.184,0.336,0.224,0.072
11,0.096,0.232,0.368,0.04,0.136,0.216,0.216,0.296,0.456,0.07999999999999999,0.07999999999999999,0.176,0.216,0.248,0.208
12,0.096,0.232,0.384,0.04,0.144,0.184,0.184,0.304,0.424,0.04000000000000001,0.04000000000000001,0.184,0.368,0.24,0.056
13,0.096,0.224,0.368,0.04,0.136,0.184,0.184,0.288,0.432,0.04799999999999999,0.04799999999999999,0.184,0.336,0.232,0.08
14,0.088,0.224,0.368,0.04,0.136,0.176,0.176,0.288,0.424,0.03999999999999998,0.03999999999999998,0.176,0.336,0.24,0.08
15,0.088,0.232,0.368,0.04,0.136,0.176,0.176,0.288,0.464,0.03999999999999998,0.03999999999999998,0.176,0.336,0.216,0.056
16,0.104,0.24,0.384,0.048,0.144,0.184,0.184,0.304,0.464,0.04000000000000001,0.04000000000000001,0.184,0.344,0.256,0.096
17,0.096,0.224,0.368,0.04,0.136,0.184,0.184,0.288,0.44,0.04799999999999999,0.04799999999999999,0.184,0.336,0.24,0.088
18,0.088,0.224,0.368,0.04,0.136,0.176,0.176,0.288,0.44,0.03999999999999998,0.03999999999999998,0.176,0.328,0.248,0.096
19,0.088,0.224,0.368,0.04,0.136,0.184,0.184,0.288,0.448,0.04799999999999999,0.04799999999999999,0.184,0.328,0.224,0.08
20,0.096,0.232,0.384,0.04,0.136,0.184,0.184,0.288,0.464,0.04799999999999999,0.04799999999999999,0.184,0.328,0.256,0.112
21,0.096,0.224,0.368,0.048,0.144,0.184,0.184,0.288,0.416,0.04000000000000001,0.04000000000000001,0.184,0.344,0.24,0.08
22,0.08,0.216,0.352,0.032,0.128,0.16,0.16,0.28,0.416,0.032,0.032,0.16,0.32,0.24,0.08
23,0.096,0.232,0.368,0.04,0.136,0.176,0.176,0.296,0.464,0.03999999999999998,0.03999999999999998,0.176,0.336,0.224,0.064
24,0.104,0.24,0.384,0.048,0.144,0.184,0.184,0.304,0.456,0.04000000000000001,0.04000000000000001,0.184,0.352,0.248,0.08
25,0.096,0.224,0.368,0.04,0.136,0.176,0.176,0.288,0.448,0.03999999999999998,0.03999999999999998,0.176,0.336,0.256,0.096
