Index of pulse,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
1,98.6842105263158,1.5000000000000002,0.48,0.28,0.18666666666666668,1.894736842105263,1.105263157894737,0.736842105263158,3.9166666666666665,2.5999999999999996,2.111111111111111,2.0000000000000004,1.666666666666667,1.8000000000000005,1.6666666666666674,0.25333333333333335,-1.5734936614052446,-0.6703012378662063,6.281959553329614,0.1594784817431573,4.25494036031945,2.127470180159725
2,102.73972602739725,1.9523809523809528,0.6081081081081081,0.27027027027027034,0.17567567567567566,2.2499999999999996,1.0,0.6499999999999998,3.066666666666666,2.750000000000001,1.2727272727272732,1.2222222222222208,1.1428571428571408,1.1666666666666643,1.0,0.27027027027027034,-2.7783421713166057,0.06849508797758984,-2.605226532326511,0.11214371332526689,5.404320831634669,3.3026405082211863
3,100.00000000000003,1.7999999999999994,0.4324324324324324,0.2837837837837836,0.18918918918918895,1.684210526315788,1.1052631578947354,0.7368421052631564,3.2142857142857104,1.6666666666666643,1.545454545454543,1.3333333333333302,1.2857142857142818,1.3333333333333288,1.2499999999999931,0.25675675675675697,-2.9845761092382816,0.031274521397528066,-0.6157677378666642,0.09698148766657397,6.530455951663251,3.5620668827254085
4,99.99999999999999,2.0000000000000018,0.37333333333333335,0.2666666666666666,0.17333333333333353,1.4000000000000006,1.0,0.6500000000000009,3.2142857142857166,1.3333333333333364,1.272727272727276,1.222222222222226,1.1428571428571428,1.1666666666666667,1.0,0.2666666666666666,-3.3382980987938016,0.05538807245302198,-6.9168466973975775,0.10709594275499858,5.492601110607352,3.3954261411027282
5,101.35135135135134,1.653846153846153,0.4054054054054057,0.283783783783784,0.1756756756756758,1.5,1.05,0.65,3.142857142857139,1.5,1.3636363636363635,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.0,0.27027027027027045,-2.545557018304102,-0.02546108984843565,0.0914167128824758,0.11235204980893011,6.357567267356982,3.296516360851767
6,101.35135135135134,1.7916666666666654,0.5199999999999997,0.2800000000000002,0.18666666666666681,1.9499999999999973,1.05,0.7,3.1333333333333298,2.2499999999999956,1.4545454545454495,1.3333333333333333,1.2857142857142858,1.3333333333333333,1.0,0.2666666666666669,-3.008052948143317,0.0558073589974109,-2.5214858387924846,0.10130746425261845,6.368349016354996,3.589433081945541
7,99.99999999999999,1.9545454545454533,0.3972602739726023,0.2876712328767118,0.1780821917808213,1.5263157894736812,1.1052631578947338,0.6842105263157866,3.142857142857139,1.416666666666662,1.3636363636363587,1.3333333333333273,1.2857142857142778,1.1666666666666574,0.9999999999999861,0.26027397260273993,-2.969250236911725,0.028009328668794818,-4.169380628697419,0.10253849739182896,5.790508102835875,3.431412209087924
8,100.00000000000006,2.000000000000004,0.3766233766233772,0.2727272727272731,0.16883116883116908,1.380952380952381,1.0,0.6190476190476191,3.1333333333333258,1.4166666666666667,1.3636363636363635,1.3333333333333333,1.2857142857142858,1.1666666666666667,1.0,0.2727272727272731,-3.4234060815967027,0.048949780973593274,4.198633035327909,0.11170944110574585,5.5290497625787625,3.3569230701371073
9,101.35135135135141,2.047619047619041,0.3972602739726027,0.273972602739726,0.1780821917808219,1.5263157894736843,1.0526315789473684,0.6842105263157895,3.2142857142857144,1.6363636363636365,1.5,1.5,1.2857142857142858,1.6,1.6666666666666667,0.2602739726027397,-2.7957191403136425,-0.005244557146169659,-0.46184213651401607,0.12058854683240822,4.774562683450809,2.9177883065532684
10,101.35135135135125,1.8695652173913075,0.418918918918918,0.2837837837837827,0.18918918918918798,1.5500000000000032,1.0500000000000003,0.6999999999999983,3.285714285714312,1.583333333333348,1.4545454545454692,1.3333333333333497,1.285714285714306,1.333333333333358,1.6666666666667282,0.2702702702702692,-2.9609353620388945,0.03528220109178841,-2.1347798112818563,0.12312239736047904,5.239999416464137,3.008147813155344
