Index of pulse,on,sp,dn,dp,off,u,v,w,a,b,c,d,e,f,p1,p2
1,0,19,42,47,75,12,28,46,5,17,22,22,36,57,22,41
2,75,95,116,128,149,86,103,120,79,92,98,98,111,130,98,116
3,149,168,194,198,223,159,176,195,153,165,169,169,184,204,169,189
4,223,243,265,277,298,235,251,269,228,240,245,245,260,279,245,265
5,298,318,341,346,372,309,326,342,303,315,320,320,334,345,320,339
6,372,392,415,423,447,383,400,418,377,389,393,393,408,424,393,414
7,447,466,490,498,520,457,475,492,451,463,474,474,483,498,467,474
8,520,541,564,575,597,532,550,568,526,538,543,543,558,577,543,563
9,597,616,640,649,670,608,625,643,601,614,619,619,632,652,619,638
10,670,690,713,721,744,682,698,716,675,687,693,693,706,727,693,712
11,744,764,788,797,819,756,773,790,749,761,771,771,781,801,766,771
12,819,840,864,872,895,831,848,867,824,837,842,842,857,872,842,865
13,895,915,938,947,969,907,923,941,900,912,918,918,931,949,918,937
14,969,989,1012,1021,1043,980,997,1015,974,986,991,991,1005,1022,991,1011
15,1043,1063,1088,1092,1117,1054,1072,1089,1048,1060,1065,1065,1079,1101,1065,1085
16,1117,1138,1162,1172,1194,1130,1147,1165,1123,1135,1140,1140,1155,1175,1140,1160
17,1194,1214,1236,1247,1269,1206,1222,1240,1199,1211,1217,1217,1230,1249,1217,1236
18,1269,1289,1312,1322,1343,1280,1297,1315,1274,1286,1291,1291,1305,1324,1291,1310
19,1343,1363,1387,1394,1418,1354,1371,1389,1348,1360,1366,1366,1379,1399,1366,1384
20,1418,1438,1463,1473,1494,1430,1447,1466,1423,1435,1441,1441,1454,1476,1441,1459
21,1494,1514,1537,1547,1571,1506,1522,1540,1500,1512,1517,1517,1530,1546,1517,1537
22,1571,1590,1612,1621,1643,1581,1598,1615,1575,1587,1591,1591,1606,1623,1591,1611
23,1643,1664,1688,1693,1718,1655,1672,1689,1648,1660,1665,1665,1680,1701,1665,1685
24,1718,1739,1763,1772,1795,1731,1748,1766,1724,1736,1741,1741,1756,1775,1741,1762
25,1795,1815,1837,1849,1872,1807,1823,1841,1800,1812,1817,1817,1831,1851,1817,1837
26,1872,1890,1913,1923,1945,1882,1899,1916,1875,1887,1898,1898,1907,1927,1892,1898
27,1945,1965,1987,1998,2021,1956,1973,1990,1950,1961,1972,1972,1981,2001,1966,1972
28,2021,2040,2063,2071,2095,2031,2049,2066,2025,2036,2048,2048,2057,2071,2041,2048
29,2095,2116,2138,2149,2172,2107,2124,2142,2101,2113,2118,2118,2132,2149,2118,2138
30,2172,2191,2214,2224,2247,2183,2200,2217,2176,2188,2199,2199,2208,2224,2193,2199
31,2247,2266,2290,2299,2321,2257,2275,2292,2251,2262,2272,2272,2282,2304,2267,2272
32,2321,2340,2364,2373,2396,2332,2349,2367,2325,2337,2348,2348,2357,2375,2341,2348
33,2396,2416,2439,2448,2472,2407,2424,2442,2401,2413,2418,2418,2432,2449,2418,2438
34,2472,2493,2515,2524,2548,2484,2501,2518,2478,2490,2499,2499,2509,2524,2494,2499
35,2548,2567,2591,2601,2622,2559,2577,2595,2552,2564,2574,2574,2584,2603,2568,2574
36,2622,2642,2666,2675,2697,2633,2651,2669,2627,2639,2647,2647,2658,2680,2643,2647
37,2697,2718,2741,2751,2774,2709,2726,2744,2702,2714,2723,2723,2734,2753,2719,2723
38,2774,2794,2816,2826,2849,2785,2802,2819,2778,2791,2796,2796,2809,2826,2796,2815
39,2849,2869,2892,2901,2923,2860,2877,2895,2853,2866,2874,2874,2884,2904,2871,2874
40,2923,2943,2967,2975,2997,2934,2952,2969,2927,2939,2949,2949,2960,2977,2944,2949
41,2997,3018,3039,3049,3070,3009,3027,3042,3003,3015,3022,3022,3034,3047,3019,3022
42,3070,3091,3112,3121,3146,3082,3099,3115,3075,3088,3093,3093,3106,3120,3093,3112
43,3146,3166,3189,3195,3220,3157,3174,3191,3150,3162,3172,3172,3181,3201,3167,3172
44,3220,3240,3263,3271,3295,3231,3249,3265,3224,3236,3245,3245,3256,3274,3241,3245
45,3295,3315,3339,3348,3370,3306,3324,3342,3299,3311,3321,3321,3331,3351,3316,3321
46,3370,3391,3412,3424,3446,3382,3399,3416,3375,3388,3394,3394,3408,3421,3394,3414
47,3446,3466,3488,3498,3520,3457,3474,3491,3451,3463,3469,3469,3481,3502,3469,3487
48,3520,3541,3564,3572,3596,3532,3549,3566,3525,3537,3547,3547,3557,3572,3542,3547
49,3596,3616,3639,3649,3671,3607,3624,3642,3600,3612,3622,3622,3631,3654,3617,3622
50,3671,3692,3715,3724,3748,3683,3700,3718,3677,3689,3694,3694,3708,3725,3694,3714
51,3748,3768,3790,3799,3822,3759,3776,3793,3753,3765,3770,3770,3784,3798,3770,3789
52,3822,3842,3866,3874,3898,3834,3851,3868,3827,3839,3844,3844,3859,3879,3844,3865
53,3898,3918,3942,3949,3974,3909,3926,3944,3903,3915,3926,3926,3933,3948,3926,3938
54,3974,3994,4018,4028,4051,3986,4002,4021,3979,3991,3996,3996,4011,4028,3996,4018
55,4051,4070,4093,4102,4126,4062,4079,4095,4056,4067,4077,4077,4087,4106,4072,4077
56,4126,4146,4168,4178,4201,4137,4155,4172,4131,4143,4152,4152,4162,4179,4147,4152
57,4201,4221,4245,4252,4278,4213,4231,4247,4206,4218,4228,4228,4238,4258,4222,4228
58,4278,4298,4321,4332,4354,4289,4307,4324,4282,4294,4304,4304,4314,4335,4299,4304
59,4354,4375,4397,4407,4432,4366,4383,4400,4360,4372,4378,4378,4391,4406,4378,4397
60,4432,4452,4475,4483,4507,4443,4460,4477,4437,4449,4454,4454,4468,4488,4454,4473
61,4507,4527,4550,4558,4583,4518,4535,4553,4512,4524,4528,4528,4543,4558,4528,4549
62,4583,4603,4628,4633,4660,4594,4612,4629,4588,4600,4604,4604,4619,4641,4604,4625
63,4660,4680,4703,4714,4738,4671,4689,4706,4665,4677,4687,4687,4697,4717,4681,4687
64,4738,4758,4780,4790,4815,4749,4766,4783,4743,4755,4765,4765,4774,4790,4760,4765
65,4815,4835,4858,4867,4890,4826,4843,4860,4820,4832,4841,4841,4850,4869,4837,4841
66,4890,4910,4934,4941,4967,4901,4919,4936,4895,4907,4917,4917,4926,4949,4912,4917
67,4967,4987,5010,5020,5045,4978,4995,5013,4971,4983,4988,4988,5003,5026,4988,5008
68,5045,5065,5088,5099,5123,5057,5074,5092,5050,5062,5067,5067,5082,5098,5067,5088
69,5123,5143,5165,5175,5199,5134,5151,5168,5128,5140,5145,5145,5159,5180,5145,5164
70,5199,5219,5242,5251,5275,5210,5228,5245,5204,5215,5225,5225,5235,5256,5220,5225
71,5275,5295,5319,5325,5354,5286,5304,5321,5280,5291,5301,5301,5311,5326,5296,5301
72,5354,5374,5398,5407,5430,5365,5383,5400,5359,5371,5376,5376,5390,5413,5376,5395
73,5430,5451,5474,5484,5510,5443,5459,5477,5436,5448,5453,5453,5468,5483,5453,5474
74,5510,5529,5552,5562,5586,5521,5538,5555,5515,5526,5537,5537,5545,5566,5531,5537
75,5586,5605,5630,5638,5662,5597,5615,5632,5590,5602,5611,5611,5622,5641,5606,5611
76,5662,5682,5708,5711,5740,5673,5691,5708,5666,5678,5688,5688,5699,5721,5683,5688
77,5740,5760,5784,5793,5818,5751,5769,5787,5744,5757,5761,5761,5776,5795,5761,5782
78,5818,5838,5861,5871,5897,5830,5846,5864,5823,5835,5840,5840,5855,5870,5840,5860
79,5897,5917,5939,5948,5973,5908,5925,5942,5902,5914,5923,5923,5933,5952,5918,5923
80,5973,5993,6017,6024,6049,5984,6002,6019,5977,5989,5999,5999,6009,6031,5993,5999
81,6049,6070,6094,6099,6128,6061,6079,6095,6054,6066,6076,6076,6086,6100,6071,6076
82,6128,6149,6172,6180,6206,6140,6157,6174,6133,6145,6156,6156,6165,6179,6150,6156
83,6206,6227,6249,6260,6286,6218,6235,6252,6212,6224,6234,6234,6243,6258,6228,6234
84,6286,6307,6330,6339,6363,6298,6315,6332,6292,6304,6310,6310,6323,6339,6310,6328
85,6363,6383,6407,6413,6440,6374,6391,6408,6367,6379,6390,6390,6399,6413,6384,6390
86,6440,6460,6484,6491,6519,6451,6468,6486,6445,6457,6461,6461,6477,6490,6461,6483
87,6519,6539,6563,6570,6597,6530,6549,6565,6524,6536,6546,6546,6556,6570,6540,6546
88,6597,6617,6640,6650,6676,6609,6626,6642,6602,6614,6624,6624,6633,6648,6619,6624
89,6676,6697,6720,6732,6756,6689,6705,6723,6683,6695,6700,6700,6714,6736,6700,6720
90,6756,6777,6799,6809,6834,6769,6786,6802,6762,6774,6785,6785,6793,6807,6779,6785
91,6834,6853,6877,6884,6911,6845,6862,6879,6838,6850,6860,6860,6870,6884,6854,6860
92,6911,6931,6955,6961,6990,6922,6940,6957,6916,6928,6937,6937,6947,6962,6932,6937
93,6990,7010,7035,7041,7068,7002,7019,7037,6995,7007,7018,7018,7027,7043,7011,7018
94,7068,7088,7111,7121,7148,7079,7097,7114,7073,7085,7095,7095,7105,7121,7089,7095
95,7148,7169,7191,7201,7226,7160,7177,7194,7154,7166,7172,7172,7184,7201,7172,7190
96,7226,7246,7269,7279,7303,7238,7254,7272,7231,7244,7251,7251,7261,7278,7251,7267
97,7303,7323,7347,7353,7382,7314,7331,7349,7307,7319,7331,7331,7340,7353,7324,7331
98,7382,7402,7425,7434,7459,7393,7411,7428,7386,7398,7408,7408,7418,7437,7402,7408
99,7459,7480,7501,7515,7539,7471,7488,7507,7464,7477,7486,7486,7495,7513,7486,7501
100,7539,7559,7582,7591,7615,7551,7567,7585,7544,7556,7561,7561,7575,7590,7561,7581
101,7615,7635,7658,7668,7692,7627,7644,7661,7620,7632,7642,7642,7652,7672,7636,7642
102,7692,7712,7736,7741,7769,7703,7722,7738,7697,7709,7718,7718,7729,7742,7713,7718
103,7769,7791,7814,7824,7849,7782,7800,7817,7776,7788,7796,7796,7807,7824,7792,7796
104,7849,7871,7892,7903,7928,7862,7879,7896,7856,7868,7873,7873,7887,7902,7873,7892
105,7928,7947,7970,7980,8003,7939,7956,7973,7932,7944,7955,7955,7964,7982,7949,7955
106,8003,8022,8047,8054,8081,8014,8032,8048,8008,8019,8030,8030,8040,8053,8023,8030
107,8081,8101,8124,8134,8158,8092,8110,8126,8085,8097,8107,8107,8117,8131,8102,8107
108,8158,8179,8201,8212,8236,8170,8187,8205,8163,8176,8181,8181,8195,8211,8181,8200
109,8236,8257,8280,8290,8313,8249,8265,8283,8243,8255,8260,8260,8273,8290,8260,8280
110,8313,8333,8355,8365,8388,8324,8341,8358,8318,8330,8334,8334,8349,8368,8334,8355
111,8388,8408,8432,8441,8465,8399,8417,8435,8393,8405,8415,8415,8425,8445,8409,8415
112,8465,8485,8509,8518,8541,8476,8495,8512,8470,8482,8492,8492,8502,8520,8486,8492
113,8541,8563,8585,8595,8618,8554,8571,8588,8548,8560,8568,8568,8579,8595,8566,8568
114,8618,8638,8661,8670,8693,8629,8647,8664,8622,8635,8643,8643,8654,8672,8639,8643
115,8693,8713,8738,8744,8768,8704,8722,8739,8697,8709,8718,8718,8729,8749,8713,8718
116,8768,8789,8812,8821,8844,8780,8798,8815,8773,8786,8794,8794,8805,8822,8790,8794
117,8844,8866,8887,8897,8919,8857,8874,8890,8850,8863,8869,8869,8881,8897,8869,8887
118,8919,8940,8963,8971,8994,8931,8948,8966,8924,8937,8948,8948,8955,8974,8948,8961
119,8994,9015,9038,9048,9069,9005,9023,9041,8999,9011,9018,9018,9030,9052,9016,9018
120,9069,9090,9111,9124,9146,9081,9098,9115,9075,9087,9094,9094,9106,9122,9094,9111
121,9146,9166,9187,9198,9219,9158,9174,9191,9151,9163,9170,9170,9181,9200,9170,9187
122,9219,9240,9262,9272,9293,9231,9248,9265,9224,9237,9247,9247,9255,9272,9247,9260
123,9293,9314,9338,9345,9369,9306,9323,9340,9299,9311,9319,9319,9330,9350,9317,9319
124,9369,9390,9411,9423,9442,9381,9398,9414,9374,9387,9397,9397,9404,9422,9397,9410
125,9442,9464,9486,9495,9518,9456,9472,9489,9450,9462,9468,9468,9480,9496,9468,9486
126,9518,9538,9560,9571,9592,9530,9546,9564,9523,9535,9543,9543,9554,9571,9543,9560
127,9592,9613,9635,9643,9667,9604,9621,9638,9597,9609,9618,9618,9629,9645,9614,9618
128,9667,9688,9709,9722,9743,9680,9696,9713,9673,9685,9691,9691,9704,9720,9691,9710
129,9743,9763,9784,9795,9816,9755,9771,9788,9748,9761,9766,9766,9778,9796,9766,9784
130,9816,9837,9859,9869,9891,9828,9845,9862,9822,9833,9841,9841,9852,9871,9839,9841
131,9891,9911,9934,9943,9966,9902,9920,9937,9895,9908,9916,9916,9927,9945,9913,9916
132,9966,9987,10007,10017,10041,9978,9994,10011,9971,9984,9990,9990,10002,10017,9990,10007
133,10041,10061,10082,10092,10114,10052,10069,10085,10045,10058,10069,10069,10076,10092,10069,10082
134,10114,10134,10156,10165,10188,10125,10143,10159,10118,10131,10139,10139,10150,10167,10136,10139
135,10188,10209,10231,10240,10263,10200,10217,10234,10193,10205,10214,10214,10225,10242,10210,10214
136,10263,10284,10305,10315,10338,10275,10292,10308,10269,10281,10286,10286,10300,10315,10286,10305
137,10338,10357,10379,10388,10411,10349,10366,10382,10342,10354,10363,10363,10373,10393,10358,10363
138,10411,10431,10454,10464,10486,10422,10440,10457,10416,10428,10437,10437,10447,10468,10432,10437
139,10486,10506,10529,10539,10562,10497,10515,10532,10491,10503,10510,10510,10522,10542,10507,10510
140,10562,10582,10603,10613,10635,10573,10590,10606,10566,10580,10590,10590,10597,10614,10590,10602
141,10635,10655,10677,10686,10709,10646,10663,10680,10639,10651,10662,10662,10671,10690,10656,10662
